iter	Passed	Remaining
433	1510	1969
434	1512	1963
435	1515	1960
436	1518	1955
437	1520	1950
438	1522	1945
439	1527	1944
440	1532	1942
441	1534	1937
442	1536	1932
443	1542	1932
444	1545	1927
445	1547	1922
446	1550	1917
447	1552	1912
448	1555	1908
449	1557	1903
450	1559	1898
451	1561	1893
452	1565	1890
453	1567	1885
454	1571	1881
455	1572	1876
456	1575	1871
457	1577	1866
458	1580	1862
459	1588	1864
460	1590	1859
461	1593	1856
462	1596	1852
463	1600	1848
464	1602	1843
465	1607	1842
466	1611	1839
467	1614	1835
468	1616	1829
469	1619	1825
470	1623	1822
471	1624	1817
472	1633	1819
473	1635	1814
474	1637	1809
475	1640	1805
476	1642	1800
477	1644	1796
478	1646	1791
479	1648	1786
480	1652	1782
481	1654	1778
482	1656	1773
483	1658	1767
484	1661	1763
485	1663	1759
486	1666	1755
487	1669	1751
488	1676	1751
489	1679	1747
490	1681	1742
491	1683	1738
492	1686	1733
493	1691	1732
494	1693	1727
495	1696	1723
496	1698	1718
497	1706	1719
498	1708	1715
499	1710	1710
500	1713	1706
501	1715	1701
502	1720	1699
503	1723	1696
504	1728	1694
505	1730	1689
506	1733	1685
507	1736	1682
508	1739	1677
509	1741	1673
510	1745	1670
511	1748	1666
512	1750	1661
513	1753	1657
514	1755	1653
515	1759	1650
516	1763	1647
517	1765	1643
518	1767	1638
519	1770	1634
520	1773	1630
521	1774	1625
522	1777	1620
523	1785	1622
524	1788	1618
525	1791	1614
526	1794	1610
527	1796	1606
528	1802	1605
529	1807	1603
530	1817	1605
531	1824	1604
532	1826	1600
533	1829	1596
534	1831	1591
535	1835	1588
536	1837	1584
537	1839	1579
538	1843	1576
539	1845	1572
540	1849	1568
541	1851	1564
542	1853	1559
543	1858	1557
544	1861	1553
545	1864	1550
546	1865	1545
547	1868	1541
548	1871	1537
549	1873	1532
550	1876	1529
551	1878	1524
552	1881	1521
553	1883	1516
554	1887	1513
555	1891	1510
556	1894	1506
557	1899	1504
558	1902	1500
559	1904	1496
560	1906	1492
561	1910	1489
562	1914	1485
563	1917	1482
564	1919	1478
565	1922	1474
566	1925	1470
567	1929	1467
568	1931	1462
569	1934	1459
570	1937	1455
571	1941	1452
572	1943	1448
573	1945	1443
574	1947	1439
575	1951	1436
576	1953	1432
577	1956	1428
578	1958	1424
579	1960	1419
580	1963	1416
581	1965	1411
582	1969	1409
583	1971	1404
584	1974	1400
585	1977	1397
586	1979	1392
587	1982	1389
588	1985	1385
589	1988	1381
590	1991	1378
591	1996	1375
592	1998	1371
593	2000	1367
594	2004	1364
595	2007	1360
596	2010	1356
597	2012	1353
598	2019	1351
599	2023	1348
600	2025	1344
601	2027	1340
602	2030	1336
603	2032	1332
604	2036	1329
605	2042	1328
606	2047	1325
607	2050	1322
608	2064	1325
609	2066	1320
610	2069	1317
611	2071	1313
612	2074	1309
613	2077	1305
614	2080	1302
615	2083	1299
616	2089	1297
617	2095	1295
618	2098	1291
619	2103	1289
620	2105	1285
621	2108	1281
622	2118	1281
623	2120	1277
624	2122	1273
625	2128	1271
626	2133	1269
627	2135	1265
628	2142	1263
629	2144	1259
630	2148	1256
631	2150	1252
632	2154	1249
633	2157	1245
634	2161	1242
635	2165	1239
636	2172	1238
637	2175	1234
638	2179	1231
639	2186	1229
640	2188	1225
641	2190	1221
642	2193	1217
643	2195	1213
644	2197	1209
645	2201	1206
646	2205	1203
647	2210	1200
648	2214	1197
649	2216	1193
650	2218	1189
651	2222	1186
652	2224	1182
653	2227	1178
654	2230	1174
655	2231	1170
656	2234	1166
657	2236	1162
658	2238	1158
659	2242	1155
660	2245	1151
661	2248	1147
662	2250	1144
663	2254	1141
664	2259	1138
665	2262	1134
666	2266	1131
667	2273	1129
668	2275	1125
669	2278	1122
670	2282	1119
671	2284	1115
672	2289	1112
673	2293	1109
674	2296	1105
675	2298	1101
676	2300	1097
677	2306	1095
678	2308	1091
679	2310	1087
680	2313	1083
681	2315	1079
682	2317	1075
683	2324	1074
684	2326	1070
685	2328	1066
686	2331	1062
687	2334	1058
688	2336	1054
689	2338	1050
690	2341	1046
691	2346	1044
692	2349	1040
693	2352	1037
694	2355	1033
695	2358	1030
696	2361	1026
697	2363	1022
698	2365	1018
699	2367	1014
700	2369	1010
701	2374	1008
702	2377	1004
703	2379	1000
704	2382	996
705	2383	992
706	2388	989
707	2395	988
708	2398	984
709	2401	980
710	2404	977
711	2406	973
712	2409	969
713	2431	974
714	2434	970
715	2466	978
716	2470	975
717	2473	971
718	2483	970
719	2490	968
720	2495	965
721	2502	963
722	2508	960
723	2517	959
724	2519	955
725	2521	951
726	2527	949
727	2532	946
728	2535	942
729	2544	941
730	2550	938
731	2557	936
732	2563	933
733	2565	929
734	2569	926
735	2572	922
736	2574	918
737	2582	916
738	2587	913
739	2591	910
740	2596	907
741	2599	903
742	2604	900
743	2607	897
744	2612	894
745	2614	890
746	2621	887
747	2623	883
748	2626	880
749	2633	877
750	2637	874
751	2644	872
752	2651	869
753	2655	866
754	2660	863
755	2663	859
756	2667	856
757	2672	853
758	2674	849
759	2678	845
760	2680	841
761	2685	838
762	2688	834
763	2693	832
764	2696	828
765	2700	825
766	2707	822
767	2709	818
768	2717	816
769	2720	812
770	2722	808
771	2726	805
772	2732	802
773	2734	798
774	2738	795
775	2740	791
776	2742	787
777	2744	783
778	2747	779
779	2752	776
780	2755	772
781	2757	768
782	2759	764
783	2762	761
784	2766	757
785	2769	753
786	2771	750
787	2773	746
788	2777	742
789	2780	739
790	2783	735
791	2785	731
792	2788	727
793	2791	724
794	2793	720
795	2796	716
796	2799	713
797	2801	709
798	2804	705
799	2807	701
800	2810	698
801	2812	694
802	2815	690
803	2817	686
804	2820	683
805	2822	679
806	2828	676
807	2830	672
808	2832	668
809	2835	665
810	2838	661
811	2841	657
812	2843	654
813	2846	650
814	2849	646
815	2851	643
816	2854	639
817	2856	635
818	2860	632
819	2867	629
820	2869	625
821	2873	622
822	2876	618
823	2879	615
824	2881	611
825	2883	607
826	2886	603
827	2889	600
828	2892	596
829	2894	592
830	2897	589
831	2901	585
832	2903	582
833	2906	578
834	2908	574
835	2911	571
836	2913	567
837	2919	564
838	2922	560
839	2926	557
840	2928	553
841	2933	550
842	2935	546
843	2938	543
844	2941	539
845	2947	536
846	2951	533
847	2953	529
848	2959	526
849	2962	522
850	2964	519
851	2968	515
852	2971	512
853	2973	508
854	2975	504
855	2979	501
856	2982	497
857	2984	493
858	2988	490
859	2991	486
860	2993	483
861	2995	479
862	2998	475
863	3000	472
864	3002	468
865	3005	465
866	3008	461
867	3010	457
868	3012	454
869	3015	450
870	3017	446
871	3019	443
872	3021	439
873	3028	436
874	3030	432
875	3033	429
876	3035	425
877	3041	422
878	3043	418
879	3045	415
880	3047	411
881	3055	408
882	3057	405
883	3060	401
884	3067	398
885	3069	394
886	3071	391
887	3077	388
888	3080	384
889	3082	380
890	3084	377
891	3089	374
892	3091	370
893	3093	366
894	3095	363
895	3098	359
896	3100	356
897	3103	352
898	3105	348
899	3109	345
900	3112	341
901	3115	338
902	3117	334
903	3119	331
904	3121	327
905	3123	324
906	3126	320
907	3129	317
908	3131	313
909	3134	310
910	3137	306
911	3141	303
912	3143	299
913	3146	296
914	3148	292
915	3150	288
916	3152	285
917	3154	281
918	3157	278
919	3161	274
920	3163	271
921	3166	267
922	3169	264
923	3173	260
924	3175	257
925	3177	253
926	3180	250
927	3184	247
928	3186	243
929	3188	239
930	3194	236
931	3196	233
932	3199	229
933	3201	226
934	3203	222
935	3205	219
936	3209	215
937	3212	212
938	3219	209
939	3234	206
940	3236	202
941	3239	199
942	3241	195
943	3243	192
944	3245	188
945	3247	185
946	3249	181
947	3252	178
948	3255	174
949	3257	171
950	3260	167
951	3263	164
952	3265	161
953	3271	157
954	3276	154
955	3279	150
956	3281	147
957	3285	144
958	3288	140
959	3290	137
960	3293	133
961	3295	130
962	3297	126
963	3300	123
964	3302	119
965	3304	116
966	3306	112
967	3308	109
968	3311	105
969	3314	102
970	3317	99
971	3322	95
972	3324	92
973	3326	88
974	3346	85
975	3350	82
976	3353	78
977	3356	75
978	3359	72
979	3361	68
980	3364	65
981	3370	61
982	3372	58
983	3375	54
984	3377	51
985	3379	47
986	3382	44
987	3384	41
988	3388	37
989	3392	34
990	3394	30
991	3399	27
992	3401	23
993	3408	20
994	3410	17
995	3413	13
996	3415	10
997	3418	6
998	3422	3
999	3429	0
